Pincode,Taluk,Area
673016,Kozhikode,Kuthiravattom
673008,Kozhikode,Kuttikkattur
673586,Kozhikode,Kythapoyil
673585,Kozhikode,Madavoor
673573,Kozhikode,Maikavu
673586,Kozhikode,Mailellampara
673611,Kozhikode,Makkada
673009,Kozhikode,Malaparamba
673601,Kozhikode,Malayamma
673602,Kozhikode,Manasseri
673604,Kozhikode,Manha Kadavu
673572,Kozhikode,Manipuram
673007,Kozhikode,Mankavu
673328,Kozhikode,Mannur Kozhikode
673012,Kozhikode,Marikunnu
673661,Kozhikode,Mavoor Kozhikode
673008,Kozhikode,Mayanad
673580,Kozhikode,Meemutty
673602,Kozhikode,Mokkam
673611,Kozhikode,Morikkara
673580,Kozhikode,Mundur Kozhikode
673580,Kozhikode,Murampathy
673603,Kozhikode,Muthappan Puzha
673585,Kozhikode,Muttancheri
673602,Kozhikode,Mysore Mala
673011,Kozhikode,Nadakavu
673027,Kozhikode,Nallalam
673613,Kozhikode,Nanminda
673585,Kozhikode,Narikkuni
673601,Kozhikode,Nayar Kuzhi
673010,Kozhikode,Nedungottur
673582,Kozhikode,Neeleswaram
673016,Kozhikode,Nellicode
673602,Kozhikode,Nellika Paramba
673601,Kozhikode,Nit Campus Po.Kozhikode
673586,Kozhikode,Nooramthode
673019,Kozhikode,Olavanna
673582,Kozhikode,Omasseri
673571,Kozhikode,Padanilam
673611,Kozhikode,Palath
673602,Kozhikode,Pannicode
673572,Kozhikode,Pannikkottur
673019,Kozhikode,Pantheerankavu
673012,Kozhikode,Parambil
673585,Kozhikode,Parannur
673573,Kozhikode,Parappanpoyil
673001,Kozhikode,Parappil
673009,Kozhikode,Paropadi
673613,Kozhikode,Pavandur
673571,Kozhikode,Payimbra
673661,Kozhikode,Pazhur
673571,Kozhikode,Peringalam
673019,Kozhikode,Perumanna
673586,Kozhikode,Perumpally
673631,Kozhikode,Perumukham
673008,Kozhikode,Peruvayal
673571,Kozhikode,Pilasseri
673007,Kozhikode,Pokkunnu
673603,Kozhikode,Ponnamkayam
673604,Kozhikode,Poovaranthod
673008,Kozhikode,Poovattu Paramba
673586,Kozhikode,Puduppadi
673603,Kozhikode,Pulluram Para
673603,Kozhikode,Punnakkal
673585,Kozhikode,Punnasseri
673585,Kozhikode,Punnur Cherupalam
673303,Kozhikode,Puthiya Nirathu
673021,Kozhikode,Puthiyangadi
673004,Kozhikode,Puthiyara
673582,Kozhikode,Puthur Kotuvalli
673633,Kozhikode,Ramanattukara
673582,Kozhikode,Santhi Nagar
673003,Kozhikode,Sreerama Krishna Mission
673006,Kozhikode,St.Vincent Colony
673002,Kozhikode,Tali
673573,Kozhikode,Tamaracheri
673573,Kozhikode,Thachampoyil
673603,Kozhikode,Thambalamanna
673580,Kozhikode,Theyyappara
673004,Kozhikode,Thiruthiyad
673603,Kozhikode,Tiruvambadi
673029,Kozhikode,Tiruvannur
673029,Kozhikode,Tiruvannur Nada
673633,Kozhikode,Vaidyarangadi
673572,Kozhikode,Valiyaparamba
673572,Kozhikode,Vavad
673580,Kozhikode,Velancode
673582,Kozhikode,Velimanna
673601,Kozhikode,Vellalasseri
673019,Kozhikode,Vellayikkode
673011,Kozhikode,Vellayil
673008,Kozhikode,Velliparamba
673582,Kozhikode,Venappara
673303,Quilandy,Vengalam
673010,Kozhikode,Vengeri
673017,Kozhikode,Vrindavan Colony
673005,Kozhikode,West Hill Beach
673005,Kozhikode,West Hill Chungam
673005,Kozhikode,West Hill
673517,Vadakara,Abhayagiri
673508,Vadakara,Adukkath
673513,Vadakara,Akkal
673317,Kozhikode,Annasseri
673620,Koyilandi,Arikulam
673507,Vadakara,Arur
673315,Koyilani,Atholi
673528,Quilandy,Avadukka
673524,Quilandy,Avala
673614,Koyilandi,Avitanallur
673541,Vadakara,Ayancheri
673521,Quilandy,Ayanikkad
673309,Vadakara,Azhiyur
673612,Quilandy,Balusseri
673517,Vadakara,Bhumivathukkal
673526,Quilandy,Chakkittapara
673541,Vadakara,Chaniyankadavu
673513,Vadakara,Chappanthottam
673513,Vadakara,Chathangottunada
673315,Kozhikode,Cheekilode
673507,Vadakara,Cheekkonnummal
673507,Vadakara,Cheekonnummal West
673509,Vadakara,Chekkiyad
673506,Vadakara,Chelakkad
673306,Quilandy,Cheliya
673304,Koyilandi,Chemancheri
673104,Vadakara,Chemmarathur
673528,Koyilandi,Chempanoda
673528,Quilandy,Chengaroth
673525,Koyilandi,Chenoli
673541,Vadakara,Cherandathur
673507,Vadakara,Cherapuram
673527,Quilandy,Cherukad
673517,Vadakara,Cherumoth
673524,Koyilandi,Cheruvannur Meladi
673529,Quilandy,Chingapuram
673308,Vadakara,Chombala
673106,Vadakara,Chorode East
673106,Vadakara,Chorode
673517,Vadakara,Chuzhali
673502,Vadakara,Edacheri North
673502,Vadakara,Edacheri
673306,Koyilandi,Edakulam Koyilandi
673525,Quilandy,Edavarad
673574,Koyilandi,Ekarool
673574,Quilandy,Emmamparamba
673501,Vadakara,Eramala
673612,Quilandy,Eramangalam
673525,Koyilandi,Eravattur
673506,Vadakara,Indira Nagar
673521,Vadakara,Iringal
673505,Vadakara,Iringannur
673523,Quilandy,Iringath
673574,Quilandy,Iyyad
673504,Vadakara,Iyyangode
673525,Koyilandi,Kadiyangad
673620,Quilandy,Kakkancheri
673507,Vadakara,Kakkattil
673615,Quilandy,Kakkayam
673506,Vadakara,Kallachi
673615,Quilandy,Kallanode
673517,Vadakara,Kallunira
673524,Quilandy,Kalpathur
673612,Quilandy,Kannadipoil
673102,Vadakara,Kannookkara
673304,Quilandy,Kappad
673508,Vadakara,Karandode
673524,Quilandy,Karayad
673513,Vadakara,Karingad
673612,Quilandy,Kariyathankavu
673542,Vadakara,Karthikappally
673612,Koyilandi,Karumala
673614,Quilandy,Karuvannur
673529,Koyilandi,Katalur
673542,Vadakara,Katameri
673502,Vadakara,Katcheri
673614,Quilandy,Kavil
673513,Vadakara,Kavilampara
673508,Vadakara,Kayakodi
673525,Quilandy,Kayanna Bazar
673526,Quilandy,Kayanna
673505,Vadakara,Kayappanichi
673307,Koyilandi,Keezhariyur
673104,Vadakara,Keezhil
673525,Quilandy,Kilinnanyam
673522,Koyilandi,Kilur Meladi
673612,Koyilandi,Kinalur
673524,Quilandy,Kizhpayur
673506,Vadakara,Kodiyura
673612,Koyilandi,Kokkallur
673315,Quilandy,Kolakkad
673315,Kozhikode,Kolathur
673307,Koyilandi,Kollam
673315,Quilandy,Kongannur
673527,Koyilandi,Koorachundu
673525,Koyilandi,Koothali
673309,Vadakara,Korothroad
673503,Vadakara,Kotancheri
673521,Quilandy,Kottakkal igl
673542,Vadakara,Kottappalli
673614,Koyilandi,Kottur
673305,Koyilandi,Koyilandi
673524,Quilandy,Kozhukkallur
673513,Vadakara,Kunduthode
673503,Vadakara,Kuningad
673620,Koyilandi,Kunnathara
673308,Vadakara,Kunnummakkara
673508,Vadakara,Kurichagam
673104,Vadakara,Kurikkilad
673542,Vadakara,Kurinhaliyode
673620,Koyilandi,Kuruvangad
673508,Vadakara,Kuttiadi
673524,Quilandy,Kuttoth
673102,Vadakara,Madappalli College
673310,Vadakara,Mahe
673105,Vadakara,Mandarathur
673574,Quilandy,Mangad
673523,Vadakara,Maniyur
673614,Quilandy,Mannankavu
673513,Vadakara,Marudonkara
673527,Koyilandi,Mattanode
673542,Vadakara,Mayyannur
673306,Quilandy,Melur
673104,Vadakara,Memunda
673525,Quilandy,Mennaniam
673104,Vadakara,Meppayil
673315,Quilandy,Modakkallur
673513,Vadakara,Moilothara
673507,Vadakara,Mokeri Nadapuram
673614,Quilandy,Moolad
673307,Quilandy,Muchukunnu
673307,Quilandy,Mudadi
673307,Quilandy,Mudadi North
673505,Vadakara,Mudavantheri
673507,Vadakara,Mullambath
673528,Quilandy,Muthukad
673523,Koyilandi,Muthuuvana
673503,Vadakara,Muthuvadathur
673508,Quilandy,Muthuvannacha
673106,Vadakara,Muttungal
673106,Vadakara,Muttungal West
673524,Quilandy,Muyipoth
673104,Vadakara,Nadakkuthala
673504,Vadakara,Nadapuram
673620,Quilandy,Naderi
673614,Koyilandi,Naduvannur
673620,Quilandy,Naduvathur
673506,Vadakara,Naripetta
673506,Vadakara,Nedumparamba
673507,Vadakara,Nittur
673507,Vadakara,Nitumannur
673614,Quilandy,Nochat
673104,Vadakara,Nut Street
673308,Vadakara,Onchiyam
673614,Quilandy,Oravil
673501,Vadakara,Orkatteri
673507,Vadakara,Padiripetta
673521,Vadakara,Palayad Nada
673508,Koyilandi,Paleri
673508,Quilandy,Paleri Town
673522,Quilandy,Pallikara
673612,Koyilandi,Panangad Qdi
673509,Vadakara,Parakkadavu
673513,Vadakara,Pasukkadavu
673105,Vadakara,Pathiyarakkara
673523,Koyilandi,Payyoli Angadi
673522,Quilandy,Payyoli
673525,Koyilandi,Perampra
673504,Vadakara,Perode
673528,Koyilandi,Peruvannamuzhi
673620,Koyilandi,Peruvattur
673542,Vadakara,Ponmeri Parambil
673507,Vadakara,Poolakkul
673513,Vadakara,Poothampara
673528,Quilandy,Poozhithode
673105,Vadakara,Puduppanam
673509,Vadakara,Puliyavil
673614,Quilandy,Punath
673522,Quilandy,Purakkad
673503,Vadakara,Purameri
673104,Vadakara,Puthur
673620,Koyilandi,Quilandibazar
673102,Vadakara,Rayarangoth
673104,Vadakara,Siddhasamaj
673574,Koyilandi,Talayad
673508,Vadakara,Taliyil
673317,Kozhikode,Thalakolathur
673509,Vadakara,Thanakottur
673526,Koyilandi,Thandorapara
673541,Vadakara,Tharopoyil
673507,Vadakara,Thinur
673541,Vadakara,Thiruvallur
673541,Vadakara,Thodannur
673612,Quilandy,Thuruthiyad
673304,Quilandy,Thuvakkode
673529,Koyilandi,Tikkoti
673304,Quilandy,Tiruvangoor
673614,Quilandy,Tiruvode
673505,Vadakara,Tuneri
673620,Quilandy,Ulliyeri
673574,Quilandy,Unnikulam
673620,Quilandy,Urallur
673103,Vadakara,Vadakara Beach
673101,Vadakara,Vadakara
673614,Quilandy,Vakayad
673517,Vadakara,Valayam
673542,Vadakara,Valliyad
673506,Vadakara,Vanimal
673513,Vadakara,Vannathichira
673506,Vadakara,Varikoli
673507,Vadakara,Vatayam
673507,Vadakara,Vattoli
673612,Quilandy,Vattoli Bazar
673574,Quilandy,Vayalada
673104,Vadakara,Vayikkilassery
673508,Vadakara,Velom
673508,Vadakara,Velom Peruvayal
673315,Quilandy,Velur West
673506,Vadakara,Vilangad
673542,Vadakara,Villyappalli
673506,Vadakara,Vishnumangalam
