Pincode,Taluk,Area
670673,Thalassery,Kolakkad
670702,Thalassery,Kolari
670650,Thalassery,Kolayad
670706,Taliparamba,Kolithattu
670704,Thalassery,Koomanthode
670694,Thalassery,Koorara
670706,Taliparamba,Koottupuzha
670643,Thalassery,Kottayam Malabar
670691,Thalassery,Kottayampoil
670651,Thalassery,Kottiyur
670102,Thalassery,Kurichiyil
670643,Thalassery,Kuthuparamba
670663,Kannur,Kuttikkakam
670703,Thalassery,Madathil
670674,Thalassery,Malayampadi
670701,Thalassery,Mallannur
670702,Thalassery,Malur
670741,Thalasery,Mambram
670643,Thalassery,Manantheri
670674,Thalassery,Manathana
670643,Thalassery,Mangattidam
670705,Taliparamba,Manikkadavu
670705,Taliparamba,Manippara
670702,Thalassery,Mattanur College
670702,Thalassery,Mattanur
670675,NA,Mekkunnu
670673,Thalassery,Melmuringodi
670661,Thalassery,Melur tly
670692,Thalassery,Mokeri
670643,Thalassery,Mooriyad
670103,Thalassery,Moozhikkara
670691,Thalassery,Mudiyanga
670704,Thalassery,Mundayamparamba
670673,Thalassery,Muzhakunnu
670662,Thalassery,Muzhappilangad
670702,Thalassery,Naduvanad
670693,Thalassery,Narikkodmala
670650,Thalassery,Nedumpoil
670701,Thalassery,Neerveli
670105,Thalassery,Nettur Kannur
673311,Thalassery,New Mahe
670701,Thalassery,Nirmalagiri
670705,Taliparamba,Nuchiyad
673313,NA,Olavilam
670643,Thalassery,Pachapoika
670703,Thalassery,Padiyur kannur
670701,Thalassery,Palaparamba
670661,Thalassery,Palayad
670671,Thalassery,Panniyannur
670692,Thalassery,Panoor
670671,Thalassery,Paral
670741,Thalassery,Parapram
670705,Taliparamba,Parikkalam
670691,Thalassery,Pathayakunnu
670741,Thalassery,Pathiriyad
670704,Thalassery,Payam East
670704,Thalassery,Payam
670702,Thalassery,Pazhassiraja Nagar
670673,Thalassery,Peravoor
673312,NA,Peringadi
670675,Thalassery,Peringathur
670706,Thalassery,Perinkeri
670673,Thalassery,Perumpunna
670107,Thalassery,Perundattil
670650,Thalassery,Peruva
670741,Thalassery,Pinarayi
670641,Thalassery,Ponniam
670641,Thalassery,Ponniam West
670650,Thalassery,Poolakutty
670702,Thalassery,Porora
670693,Thalassery,Poyilur
670691,Thalassery,Pukkot kba
670675,Thalassery,Puliyanambram
670672,Thalassery,Pullookkara
670703,Thalassery,Punnad
670102,Thalassery,Punnol
670692,Thalassery,Puthur panoor
670706,Thalassery,Randamkadavu
670643,Thalassery,Sankaranellur
670674,Thalassery,Santhigiri
670702,Thalassery,Sivapuram
670102,Thalassery,Temple Gate
670101,Thalassery,Thalassery Bazar
670101,Thalassery,Thalassery Courts
670101,Thalassery,Thalassery
670702,Thalassery,Thillenkeri
670673,Thalassery,Tholambra
670673,Thalassery,Thondiyil
670693,Thalassery,Thuvakunnu
670103,Thalassery,Tiruvangad
670705,Taliparamba,Ulikkal
670702,Thalassery,Uliyil
670649,Thalassery,Ummenchira
670702,Thalasery,Uruvachal
670105,Thalassery,Vadakkumbad
670705,Taliparamba,Vattiamthode
670671,Thalassery,Vayalalam
670650,Thalassery,Vayannur
670704,Thalassery,Veerpad
670704,Thalassery,Velimanam
670673,Thalassery,Vellarvelly
670674,Thalassery,Vellunni
670703,Thalassery,Vilakkode
670693,Thalassery,Vilakkottur
